1.75	-0.0744643	0.268761
1.76	-0.0717767	0.272873
1.77	-0.0690479	0.276837
1.78	-0.0662795	0.28065
1.79	-0.063473	0.284311
1.8	-0.0606299	0.287816
1.81	-0.0577518	0.291164
1.82	-0.0548401	0.294353
1.83	-0.0518966	0.297382
1.84	-0.0489228	0.300248
1.85	-0.0459203	0.30295
1.86	-0.0428908	0.305486
1.87	-0.0398359	0.307854
1.88	-0.0367574	0.310054
1.89	-0.0336569	0.312084
1.9	-0.030536	0.313943
1.91	-0.0273966	0.315629
1.92	-0.0242403	0.317142
1.93	-0.0210689	0.318481
1.94	-0.0178841	0.319644
1.95	-0.0146876	0.320632
1.96	-0.0114813	0.321443
1.97	-0.00826686	0.322077
1.98	-0.00504609	0.322534
1.99	-0.00182075	0.322813
2	0.00140737	0.322913
2.01	0.0046365	0.322835
2.02	0.00786486	0.322579
2.03	0.0110906	0.322145
2.04	0.0143121	0.321532
2.05	0.0175274	0.320742
2.06	0.0207348	0.319774
2.07	0.0239326	0.318629
2.08	0.0271189	0.317307
2.09	0.0302919	0.31581
2.1	0.03345	0.314137
2.11	0.0365914	0.31229
2.12	0.0397143	0.310269
2.13	0.042817	0.308076
2.14	0.0458978	0.305711
2.15	0.0489549	0.303176
2.16	0.0519866	0.300473
2.17	0.0549914	0.297602
2.18	0.0579674	0.294565
2.19	0.060913	0.291364
2.2	0.0638267	0.288
2.21	0.0667067	0.284475
2.22	0.0695514	0.280791
2.23	0.0723593	0.27695
2.24	0.0751288	0.272954
2.25	0.0778584	0.268805
2.26	0.0805464	0.264505
2.27	0.0831915	0.260057
2.28	0.085792	0.255463
2.29	0.0883467	0.250725
2.3	0.0908539	0.245846
2.31	0.0933124	0.240829
2.32	0.0957207	0.235676
2.33	0.0980774	0.230389
2.34	0.100381	0.224973
2.35	0.102631	0.219429
2.36	0.104825	0.213762
2.37	0.106963	0.207973
2.38	0.109043	0.202066
2.39	0.111063	0.196044
2.4	0.113024	0.18991
2.41	0.114923	0.183669
2.42	0.11676	0.177322
2.43	0.118533	0.170874
2.44	0.120242	0.164328
2.45	0.121885	0.157688
2.46	0.123462	0.150956
2.47	0.124971	0.144138
2.48	0.126413	0.137237
2.49	0.127785	0.130256
2.5	0.129088	0.123199
2.51	0.13032	0.11607
2.52	0.13148	0.108873
2.53	0.132569	0.101612
2.54	0.133585	0.0942908
2.55	0.134528	0.0869136
2.56	0.135397	0.0794843
2.57	0.136192	0.072007
2.58	0.136912	0.0644858
